Company Name,Primary Category,Vendor Scale,Local Vendor Priority,Address,City,State,Phone,Website,Latitude,Longitude,Map Status,Priority,Verification Status,Source URL,Notes,Oilfield Specific Fit,Location Role / Satellite Type,Expansion Source,Original Latitude,Original Longitude,Map Offset Applied,Duplicate Cleanup Action,Address Completeness,Hover Separation Group,Hover Group Size,Map Behavior
SAExploration,Seismic Acquisition / Geophysical,National / Global,Medium,"13645 N Promenade Blvd, Suite 160",Stafford,TX,346-874-7600,https://saexploration.com/en/,29.627000,-95.565000,Address/city-level geocode,Medium,Directory/company source verified,https://geophysicsmarketplace.com/Listing/Index/Data_ManagementSurveys/Seismic_AcquisitionLand/38/318 ; https://saexploration.com/en/,"Geophysical ground acquisition services including design, drilling, recording and field QC; broader seismic vendor layer.",Confirmed oilfield specific,National seismic acquisition contractor,V2.9 Coring-Seismic expansion,29.6270,-95.5650,,,City centroid / physical address needed,29.627000|-95.565000,1,Single marker; tooltip opens on hover
ChampionX Chemical Technologies,Chemical Treatment / Production Chemicals,National / Major,Standard,"Sugar Land, TX; exact office pending",Sugar Land,TX,Needs direct confirmation,https://www.championx.com/,29.619700,-95.634900,Ready after exact address verification,High,Company source / branch qualification pending,https://www.championx.com/products-and-solutions/chemical-technologies/,"Production chemistry, artificial lift and oilfield technology; included for chemical-treatment and corrosion/scale/paraffin programs.",Confirmed oilfield chemical fit,Office / camp / service lead,V2.14 User requested service-category expansion,29.6197,-95.6349,,,City centroid / physical address needed,29.619700|-95.634900,1,Single marker; tooltip opens on hover
Tucker Energy Services / Wireline Lead,Wireline / Open-hole / Cased-hole,Regional / Multi-basin,Medium,,Texas,TX,Needs direct confirmation,,31.968600,-99.901800,State-level placeholder,Medium,Needs verification,Research lead,Legacy wireline/open-hole/cased-hole lead; verify current business status and successor entities before outreach.,Needs direct qualification,Wireline research lead,Existing V2.7 record,31.9686,-99.9018,,,City centroid / no physical address,31.968600|-99.901800,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Wildcat Oil Tools,Fishing Tools / Rental Tools / Tubular Services,Regional / Multi-basin,Medium,,Texas,TX,1-888-WILDCAT,https://www.wildcatoiltools.com/,31.968600,-99.901800,State-level placeholder; exact locations pending,Medium,Company source; location extraction pending,https://www.wildcatoiltools.com/,Fishing services and rental equipment provider; qualify regional yards for Permian/MidCon/Gulf Coast.,Confirmed oilfield specific,Fishing/rental tools,Existing V2.7 record,31.9686,-99.9018,,,City centroid / no physical address,31.968600|-99.901800,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Edge Services,Conductor Drilling / Preset / Cased-hole Wireline,Regional,Medium,,Texas / Oklahoma,TX,Needs direct confirmation,https://edgesvcs.com/,31.968600,-99.901800,State-level placeholder; exact offices pending,Medium,Company source; direct call recommended,https://edgesvcs.com/about/,"Conductor drilling, pre-set services and cased-hole wireline; likely useful in Permian/MidCon completions/drilling support.",Confirmed oilfield specific,Drilling support / wireline,Existing V2.7 record,31.9686,-99.9018,,,City centroid / no physical address,31.968600|-99.901800,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
ChampionX Artificial Lift,Artificial Lift / Production Chemicals / Optimization,National / Integrated,High,Corporate city-level,The Woodlands,TX,Needs direct confirmation,https://www.championx.com/,30.165800,-95.461300,City-level geocode,High,Company source verified,https://www.championx.com/our-markets/production/artificial-lift-technologies/,End-to-end artificial lift portfolio with production chemistry and digital support; branch-level extraction needed.,Confirmed oilfield artificial lift,National provider,Existing V2.7 record,30.1658,-95.4613,,,City centroid / physical address needed,30.165800|-95.461300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
ChampionX Emissions Technologies / Scientific Aviation,Optical Gas Imaging / Aerial Methane Detection / Continuous Monitoring,National / Major Provider,High,City-level corporate/technology placeholder; service location verification recommended,The Woodlands,TX,Needs direct confirmation,https://www.championx.com/products-and-solutions/emissions-technologies/,30.165800,-95.461300,City-level geocode,High,Company source + EPA Natural Gas STAR source category; direct call recommended,https://www.championx.com/products-and-solutions/emissions-technologies/ ; https://www.epa.gov/natural-gas-star-program/oil-and-gas-equipment-and-service-providers-directory,"AURA OGI and emissions technologies; Scientific Aviation acquired by ChampionX. Useful for OOOOb/OOOOc, LDAR, and methane compliance vendor layer.",Confirmed oil and gas emissions technology fit,Major provider / emissions technology platform,V2.12 EPA Natural Gas STAR / methane provider expansion,30.1658,-95.4613,,,City centroid / physical address needed,30.165800|-95.461300,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Cudd Energy Services,Coiled Tubing / Snubbing / Wireline / Pumping,National / Multi-basin,High,2828 Technology Forest Blvd,The Woodlands,TX,(832) 295-5555,http://www.cuddenergyservices.com/,30.1750734,-95.48154249999999,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://cudd.com/ ; https://maps.google.com/?cid=416425909509523075 ; http://www.cuddenergyservices.com/,"Pressure pumping and intervention services including coil, snubbing and wireline ; add basin yards as verified. ; Google Places profile matched Cudd Energy Services; 2828 Technology Forest Blvd, The Woodlands, TX 77381, USA; (832) 295-5555; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,30.1658,-95.4613,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,30.1750734|-95.48154249999999,1,Single marker; tooltip opens on click
Innospec Oilfield Services,Chemical Treatment / Production / Water Treatment,National / Major,Standard,2600 Technology Forest Blvd,The Woodlands,TX,(713) 936-4340,https://innospec.com/oilfield/,30.1742645,-95.479002,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://innospec.com/oilfield/production/water-treatment/ ; https://maps.google.com/?cid=18002205368558760273,"Oilfield water-treatment chemistry provider for drilling, stimulation, production and pipeline applications. ; Google Places profile matched Innospec Oilfield Services; 2600 Technology Forest Blvd, The Woodlands, TX 77381, USA; (713) 936-4340; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield chemical fit,Map-profile-enriched provider,V2.14 User requested service-category expansion,30.1658,-95.4613,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,30.1742645|-95.479002,1,Single marker; tooltip opens on click
Scientific Drilling International,Directional / Cased-Hole / Wireline Support,National / Global,Medium,1450 Lake Robbins Dr #200,The Woodlands,TX,(281) 443-3300,https://scientificdrilling.com/,30.161871,-95.45611720000001,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://scientificdrilling.com/technology-services/cased-hole-services/ ; https://maps.google.com/?cid=8379950738079057338 ; https://scientificdrilling.com/,"Directional/wellbore placement and cased-hole services ; lists wireline, slickline/e-line, fishing, freepoint/backoff, plug/packer setting and perforating. ; Google Places profile matched Scientific Drilling International; 1450 Lake Robbins Dr #200, The Woodlands, TX 77380, USA; (281) 443-3300; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.9 Specialty expansion,30.1640,-95.4597,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,30.161871|-95.45611720000001,1,Single marker; tooltip opens on click
Downhole Inspection Solutions,NDT / Downhole Inspection / Tubular Inspection,Regional / Multi-basin,Medium,,United States,TX,1-877-2INSPCT,https://www.drillingtools.com/downhole,31.968600,-99.901800,State-level placeholder; facility locations pending,Medium,Company source; facility extraction pending,https://www.drillingtools.com/downhole,NDT and downhole/tubular inspection support with U.S. facilities; qualify casing/tubing inspection role for oilfield work.,Likely oilfield specific; needs location extraction,Inspection service provider,Existing V2.7 record,31.9686,-99.9018,,,City centroid / no physical address,31.968600|-99.901800,4,Stacked at city/coordinate; expands on hover; tooltip opens on hover
KLX Energy Services - Victoria,Coiled Tubing / Nitrogen / Pumping / Thru-Tubing / Snubbing,Regional / Eagle Ford / Gulf Coast,High,Operating region location,Victoria,TX,Needs direct confirmation,https://klx.com/operating-regions/,28.805300,-97.003600,City-level geocode; exact address pending,High,Company source verified; exact address pending,https://klx.com/operating-regions/,Operating region row for Gulf Coast/Eagle Ford services; direct-call to qualify exact yard and service availability.,Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,28.8053,-97.0036,,,City centroid / physical address needed,28.805300|-97.003600,1,Single marker; tooltip opens on hover
Harrelson Equipment,Pumpjack Parts / Used Pumping Units,Regional / National Sales,High,3996 Wellington Rd.,Wichita Falls,TX,940-636-1984 / 800-243-2522,https://www.harrelsonequipment.com/,33.913700,-98.493400,Address ready; geocode approximate,High,Company source verified,https://www.harrelsonequipment.com/home2/ ; https://www.harrelsonequipment.com/parts/,"Large inventory of new/used pumpjacks, used pumping unit parts, gears, saddle bearings, tail bearings and wrist pins; useful hard-to-find parts source.",Confirmed oilfield production equipment,Supplier / parts yard,Existing V2.7 record,33.9137,-98.4934,,,Physical address / approximate geocode,33.913700|-98.493400,1,Single marker; tooltip opens on hover
Enverus / OpenInvoice OFS Directory - Source Reference,Directory Source / OFS Supplier Discovery / Procurement,Directory / Source Reference,High,Source reference only - not a vendor,United States,US,Not applicable,https://ofs.openinvoice.com/,39.828300,-98.579500,Reference source / not mapped as vendor,High,Public category source; supplier network detail may require Enverus/OpenInvoice access,https://ofs.openinvoice.com/ ; https://www.enverus.com/products/openinvoice/,"Use public OFS category coverage plus OpenInvoice supplier-network access if available. Public page shows broad category counts across drilling, completions, production, infrastructure, rentals, trucking, land/legal, and software/technology.",Directory/source-to-pay source; qualify actual vendors individually,Source reference,V2.12 directory source layer,39.8283,-98.5795,,,City centroid / physical address needed,39.828300|-98.579500,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
ShaleDirectories.com - Appalachian/Permian/Eagle Ford/Bakken Discovery Source,Directory Source / Vendor Discovery,Directory / Source Reference,High,Source reference only - not a vendor,United States,US,Not applicable,https://www.shaledirectories.com/,39.828300,-98.579500,Reference source / not mapped as vendor,High,Source reference; individual vendors require company-level verification,https://www.shaledirectories.com/ ; https://www.shaledirectories.com/about/,"Use as a systematic source for local and national businesses serving Marcellus, Utica, Permian, Eagle Ford, Bakken, and Niobrara plays.",Directory source; qualify each provider individually before outreach,Source reference,V2.12 directory source layer,39.8283,-98.5795,,,City centroid / physical address needed,39.828300|-98.579500,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Winn-Marion Companies - Midvale,Automation / Controls / SCADA,Regional / Multi-basin,Medium,6973 South High Tech Drive,Midvale,UT,Needs direct confirmation,https://winn-marion.com/,40.619700,-111.899200,Address ready; geocode approximate,Medium,Company/LinkedIn location; direct call recommended,https://winn-marion.com/ ; https://www.linkedin.com/company/winn-marion-companies,Rocky Mountain controls/electrification support location.,Confirmed oilfield and industrial energy support,Branch / satellite location,Existing V2.7 record,40.6197,-111.8992,,,Physical address / approximate geocode,40.619700|-111.899200,1,Single marker; tooltip opens on hover
Marshall Miller & Associates,Consulting / Petroleum Geology / Engineering | Engineering / Geologic / Environmental Consulting,Regional / Multi-basin | Regional,High | Medium,582 Industrial Park Rd,Bluefield,VA,(276) 322-5467,http://www.mma1.com/,37.2358465,-81.2992508,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://mma1.com/ ; https://mma1.com/about-us/company-history | https://mma1.com/ ; https://maps.google.com/?cid=11029567167855123358 ; http://www.mma1.com/,"Consulting firm with mining and petroleum geology, petroleum engineering, environmental, expert witness, valuation/appraisal, permitting/regulatory, and geophysical logging services. | Appalachia consulting/engineering resource ; qualify for oil and gas reserve/reservoir/geologic work and environmental support. ; Google Places profile matched Marshall Miller & Associates, Inc; 582 Industrial Park Rd, Bluefield, VA 24605, USA; (276) 322-5467; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield/petroleum consulting fit | Likely oilfield applicable; needs qualification,Map-profile-enriched provider,V2.9 KY/TN expansion | Existing V2.7 record,37.2526,-81.2712,,Kept best record ; merged/removed 1 duplicate(s): Marshall Miller & Associates - Appalachia Office ; Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,37.2358465|-81.2992508,1,Single marker; tooltip opens on click
GASCO Drilling Inc.,Drilling Contractor,Local / Regional,High,3095 Steelsburg Hwy,Cedar Bluff,VA,276-964-4117,Needs website confirmation,37.087600,-81.759000,Source verified but website not found,High,Public listing / social source; direct call required,https://www.facebook.com/GascoDrillingInc/ ; https://www.industrynet.com/listing/3811196/gasco-drilling-inc,"Public listing identifies GASCO as an oil and gas drilling contractor in Cedar Bluff, VA.",Confirmed oilfield specific,Field office / drilling contractor,Existing V2.7 record,37.0876,-81.759,,,Physical address / approximate geocode,37.087600|-81.759000,1,Single marker; tooltip opens on hover
Highlands Drilling - Clintwood Yard & Shop,Drilling Contractor / Yard | Drilling Contractor,Regional / Basin | Regional,High,1267 Clintwood Hwy,Clintwood,VA,276-926-0044,https://highlandsdrilling.com/contact/,37.150100,-82.455400,City-level geocode; address ready,High,Company source verified | User-provided; direct call required,https://highlandsdrilling.com/contact/ | User-provided lead,Clintwood yard/shop supporting Appalachian drilling operations. | Appalachian drilling contractor lead to qualify for KY/VA/WV/PA conventional and unconventional work.,Confirmed oilfield specific | Likely oilfield specific; needs direct qualification,V2.4 specialty/service expansion | User-requested lead,Existing V2.7 record,37.1501,-82.4554,,Kept best record; merged/removed 1 duplicate(s): Highlands Drilling,City centroid / physical address needed,37.150100|-82.455400,1,Single marker; tooltip opens on hover
"Miller Supply of Virginia, Inc. - Coeburn",Oilfield Supply / OCTG / Pipe Yard,Regional / Appalachian multi-location,High,Location to verify,Coeburn,VA,(800) 621-8356,https://kenmillersupply.com/,36.943990,-82.464000,City-level geocode; address needs verification,High,Company location list verified; address needs direct call,https://kenmillersupply.com/locations/,Listed by company as one of six Appalachian Basin locations.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,36.94399,-82.4640,,,City centroid / physical address needed,36.943990|-82.464000,1,Single marker; tooltip opens on hover
"Noah Horn Well Drilling, Inc.",Drilling Contractor / Core / Specialty Drilling,Local / Regional,High,1070 Sandy Valley Lane,Oakwood,VA,800-563-6360 / 276-935-5903,https://www.noahhorn.com/,37.221200,-81.974800,City-level geocode; address ready,High,Company source verified,https://www.noahhorn.com/ ; https://www.noahhorn.com/services.html,"Oil and gas, water well, geothermal, coal exploration, spot coring, monitor wells, dewatering and directional/degasification drilling; useful Appalachian contractor.",Confirmed oilfield specific,V2.4 specialty/service expansion,Existing V2.7 record,37.2212,-81.9748,,,City centroid / physical address needed,37.221200|-81.974800,1,Single marker; tooltip opens on hover
Gas Field Services,Pipeline / Roustabout / Field Services,Regional Appalachia,High,17908 US-19,Rosedale,VA,(276) 880-2323,https://www.gasfieldsvc.com/,36.95537729999999,-81.94127,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.gasfieldsvc.com/ ; https://maps.google.com/?cid=3259580052106332907,"Appalachian field service provider with locations serving Tennessee, Virginia, West Virginia, Marcellus/Utica and surrounding conventional/CBM fields. ; Google Places profile matched Gas Field Services; 17908 US-19, Rosedale, VA 24280, USA; (276) 880-2323; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,V2.9 KY/TN expansion,36.9723,-81.9323,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,36.95537729999999|-81.94127,1,Single marker; tooltip opens on click
KLX Energy Services - Bridgeport,Oilfield Services / Coil / Wireline / Flowback,National / Multi-basin,High,,Bridgeport,WV,Needs direct confirmation,https://klx.com/,39.286500,-80.256200,City-level geocode; exact address pending,High,Directory/company source; direct call recommended,https://klx.com/operating-regions/ ; https://www.industrynet.com/listing/1832365/klx-energy-services-holdings-inc,Northeast/Appalachian oilfield services location candidate; qualify specific lines available.,Confirmed oilfield specific,Satellite service center,Existing V2.7 record,39.2865,-80.2562,,,City centroid / no physical address,39.286500|-80.256200,1,Single marker; tooltip opens on hover
Eastern Fishing and Rental Tools,Fishing / Rental Tools / Downhole Tools,Local / Regional,Medium,City-level office/camp; exact address pending,Buckhannon,WV,Needs direct confirmation,,38.993400,-80.232000,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,Appalachian fishing/rental tool lead; verify location and service capabilities.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,38.9934,-80.232,,,City centroid / physical address needed,38.993400|-80.232000,1,Single marker; tooltip opens on hover
R. L. Laughlin & Company - Buckhannon,Measurement / Metering / Chart Processing,Regional / Appalachia,High,1997 Old Weston Rd.,Buckhannon,WV,304-969-0033,https://rllco.com/,38.993000,-80.232000,Address ready; geocode approximate,High,Company source verified,https://rllco.com/,Appalachian gas measurement field-service and chart-processing support.,Confirmed oilfield / gas measurement specific,Branch / satellite location,Existing V2.7 record,38.993,-80.232,,,Physical address / approximate geocode,38.993000|-80.232000,1,Single marker; tooltip opens on hover
E&H Manufacturing,Production Equipment / Tanks / Meter Skids,Regional / Appalachia,High,2722 Pennsylvania Ave,Charleston,WV,(304) 344-9875,https://eandhmanufacturing.com/,38.3907573,-81.59236349999999,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://eandhmanufacturing.com/ ; https://eandhmanufacturing.com/services/oil-natural-gas-equipment/ ; https://maps.google.com/?cid=2279046361149577590,"Aboveground steel tanks, ASME vessels, measurement equipment, pumpjacks, inline heaters, skid-mounted gas production units, desiccant dryers and conventional Appalachian surface production equipment. ; Google Places profile matched E & H Manufacturing Inc.; 2722 Pennsylvania Ave, Charleston, WV 25302, USA; (304) 344-9875; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield production equipment,Map-profile-enriched provider,Existing V2.7 record,38.3498,-81.6326,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,38.3907573|-81.59236349999999,1,Single marker; tooltip opens on click
"GAS, Inc.",Gas Analysis / Production Services,Local / Regional,Medium,City-level office/camp; exact address pending,Charleston,WV,Needs direct confirmation,,38.349800,-81.632600,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,"User lead; verify legal name, service scope and operating locations.",User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,38.3498,-81.6326,,,City centroid / physical address needed,38.349800|-81.632600,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
Javins Corporation,Oilfield Construction / Service / Supply,Local / Regional,Medium,City-level office/camp; exact address pending,Charleston,WV,Needs direct confirmation,,38.349800,-81.632600,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,Appalachian contractor/supply lead; verify oilfield-specific services.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,38.3498,-81.6326,,,City centroid / physical address needed,38.349800|-81.632600,3,Stacked at city/coordinate; expands on hover; tooltip opens on hover
R. L. Laughlin & Company - Charleston HQ,Measurement / Metering / Chart Processing,Regional / Appalachia,High,5012 Washington St. W.,Charleston,WV,304-776-7740,https://rllco.com/,38.361000,-81.637000,Address ready; geocode approximate,High,Company source verified,https://rllco.com/ ; https://business.charlestonareaalliance.org/list/member/r-l-laughlin-and-company-inc-8160,"Natural gas measurement outsourcing, chart processing, SCADA services, metering equipment sales and field services.",Confirmed oilfield / gas measurement specific,Corporate HQ / Appalachian hub,Existing V2.7 record,38.361,-81.637,,,Physical address / approximate geocode,38.361000|-81.637000,1,Single marker; tooltip opens on hover
Hall Drilling LLC,Water Hauling / Brine Disposal / Roustabout,Local / Regional,High,1137 E Washington Ave,Ellenboro,WV,(304) 869-3404,https://www.halldrilling.com/,39.2768823,-81.0430476,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.wvoilgasbuyersguide.com/listings.php?cat=Professional+Services&scat=Brine+Hauling+%26+Disposal ; https://maps.google.com/?cid=16212479060720547800 ; https://www.halldrilling.com/,"WV oil and gas buyer's guide lists Hall Drilling under Brine Hauling & Disposal with water trucks, disposal, hook-up crews and roustabout crews. ; Google Places profile matched Hall Drilling; 1137 E Washington Ave, Ellenboro, WV 26346, USA; (304) 869-3404; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,39.2667,-81.0559,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,39.2768823|-81.0430476,1,Single marker; tooltip opens on click
Fairmont Tools,Fishing Tools / Oilfield Tools,Local / Regional,Medium,283 Vankirk Dr,Fairmont,WV,(304) 363-8339,http://www.fairmonttool.com/,39.4296034,-80.2066375,Public business profile address and Google Places geocode,Medium,Google Places map-profile enriched 2026-06-24; company-source service verification pending,User-provided lead ; public verification/direct call pending ; https://maps.google.com/?cid=727393532094832306 ; http://www.fairmonttool.com/,"Appalachian tool lead ; vet fishing/rental tools and service area. ; Google Places profile matched Fairmont Tool Inc; 283 Vankirk Dr, Fairmont, WV 26554, USA; (304) 363-8339; status OPERATIONAL; researched 2026-06-24",User-provided lead; oilfield-specific fit to confirm by service line,Map-profile-enriched provider,V2.14 User requested service-category expansion,39.4851,-80.1426,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,39.4296034|-80.2066375,1,Single marker; tooltip opens on click
Drilco Oil and Gas Corporation,Drilling / Site Excavation / E&P Lead,Local / Regional,Medium,P.O. Box 385,Grantsville,WV,304-354-9516,www.drilcooilgas.com,38.923400,-81.095100,City-level geocode,Medium,Rigzone directory lead; direct call required,https://www.rigzone.com/directory/company/21744/Drilco-Oil-and-Gas-Corporation/,"Rigzone describes drilling, oil and gas exploration/production, water well drilling and site/location excavation. Needs qualification as service provider versus operator.",Potential drilling/site work fit; role may be E&P/operator and must be qualified before vendor outreach.,Candidate drilling / E&P / excavation lead,Rigzone Directory V2.10,38.9234,-81.0951,,,City centroid / physical address needed,38.923400|-81.095100,1,Single marker; tooltip opens on hover
American Producers Supply,Industrial / Oilfield Supply,Regional,Medium,Huntington branch listing,Huntington,WV,866-482-0310,https://www.americanproducers.com/,38.419200,-82.445200,City-level geocode,Medium,Directory/source verified; direct call needed,https://www.americanproducers.com/index.jsp?path=locations,Regional industrial and oilfield supply source; useful for WV/KY/OH support.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,38.4192,-82.4452,,,City centroid / physical address needed,38.419200|-82.445200,1,Single marker; tooltip opens on hover
BOSS Services - Jane Lew District,Cementing / Acidizing / Pressure Pumping,Regional,High,1628 Jackson Mill Road,Jane Lew,WV,Needs direct confirmation,https://www.bosscementservices.com/,39.110900,-80.406200,Ready after exact address verification,High,Company/LinkedIn source,https://www.linkedin.com/company/boss-services-inc,"Marcellus/Utica district lead for cementing, acidizing and pumping; verify current operations.",Confirmed oilfield cementing fit,Office / camp / service lead,V2.14 User requested service-category expansion,39.1109,-80.4062,,,City centroid / physical address needed,39.110900|-80.406200,1,Single marker; tooltip opens on hover
Energy Contractors - Frac Tank Rentals,Frac Tank Rentals / Fluid Storage,Local / Regional,Medium,City-level office/camp; exact address pending,Morgantown,WV,Needs direct confirmation,,39.629500,-79.955900,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,Frac tank rental / field equipment lead; verify locations and rental fleet.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,39.6295,-79.9559,,,City centroid / physical address needed,39.629500|-79.955900,2,Stacked at city/coordinate; expands on hover; tooltip opens on hover
MidAtlantic Energy Services,Coiled Tubing / Snubbing / Nitrogen / Pumps,Regional / Appalachian,High,1910 S Dents Run Rd,Morgantown,WV,(304) 598-0100,http://www.maeservice.com/,39.619452,-79.9913124,Public business profile address and Google Places geocode,High,Google Places map-profile enriched 2026-06-24; company-source service verification pending,https://www.maeservice.com/services/coil-tubing-services/ ; https://maps.google.com/?cid=9094034495923337320 ; http://www.maeservice.com/,"Appalachian oil and gas services company ; source states it provides both coiled tubing and snubbing services in the Appalachian Basin. ; Google Places profile matched Mid Atlantic Energy Services; 1910 S Dents Run Rd, Morgantown, WV 26501, USA; (304) 598-0100; status OPERATIONAL; researched 2026-06-24",Confirmed oilfield specific,Map-profile-enriched provider,Existing V2.7 record,39.6295,-79.9559,,Replaced placeholder location/contact fields with reviewed Google Places profile 2026-06-24,Public street address / Google Places geocode,39.619452|-79.9913124,1,Single marker; tooltip opens on click
Complete Energy Services,Oilfield Services / Completion Support,Local / Regional,Medium,City-level office/camp; exact address pending,New Martinsville,WV,Needs direct confirmation,,39.644500,-80.857600,Ready after exact address verification,Medium,User-provided contact-list lead; direct call required,User-provided lead; public verification/direct call pending,Contact-list lead; vet completion/well service support and operating locations.,User-provided lead; oilfield-specific fit to confirm by service line,Lead / vendor candidate,V2.14 User requested service-category expansion,39.6445,-80.8576,,,City centroid / physical address needed,39.644500|-80.857600,1,Single marker; tooltip opens on hover
"FESCO, Ltd. - Shinnston",Flowback / Completion / Wireline / Lab / Pipeline,Regional / Multi-basin,High,Location extraction pending,Shinnston,WV,1-888-221-1859,https://www.fescoinc.com/,39.395600,-80.300100,City-level geocode; exact address pending,High,Company source verified; exact address pending,https://www.fescoinc.com/locations,"Appalachian location listed by FESCO; useful for WV/PA/OH completion, flowback, lab, wireline and pipeline support.",Confirmed oilfield specific,V2.7 regional/national expansion,Existing V2.7 record,39.3956,-80.3001,,,City centroid / physical address needed,39.395600|-80.300100,1,Single marker; tooltip opens on hover
Keystone Clearwater Solutions - Triadelphia,Water Management / Transfer,Regional / Multi-basin,High,385 Technology Drive,Triadelphia,WV,Needs direct confirmation,https://keystoneclear.com/,40.052000,-80.628400,City-level geocode; address ready,High,Source verified; direct call recommended,https://keystoneclear.com/ ; https://keystoneclear.com/about/news-item/keystone-clearwater-solutions-announces-expansion-of-automated-water-transfer-services-to-permian-basin/ ; https://www.linkedin.com/company/keystone-clearwater-solutions,"Keystone Clearwater states it has multiple locations in the Appalachian and Permian Basins and provides oil & gas water transfer, pumping, treatment and storage services.",Confirmed oilfield specific,Field office / branch / yard,Existing V2.7 record,40.052,-80.6284,,,City centroid / physical address needed,40.052000|-80.628400,1,Single marker; tooltip opens on hover
"Miller Supply of West Virginia, Inc. - Weston",Oilfield Supply / OCTG / Pipe Yard,Regional / Appalachian multi-location,High,621 Old Rt 33,Weston,WV,(304) 269-3850,https://kenmillersupply.com/,39.038400,-80.467300,City-level geocode; address ready,High,Directory verified; direct call recommended,https://www.wvoilgasbuyersguide.com/listing.php?company_name=Miller+Supply+of+WV&listing_id=660002277,Listed in WV oil/gas buyer guide as oilfield supply/OCTG-related provider.,Confirmed oilfield specific,Existing V2.2 row,Existing V2.7 record,39.0384,-80.4673,,,City centroid / physical address needed,39.038400|-80.467300,1,Single marker; tooltip opens on hover
"GEF, Inc.",Metering Skid Platforms / Fiberglass Fabrication,Regional / Appalachia,Medium,6497 Winfield Road,Winfield,WV,304-755-1600,https://www.gefinc.com/,38.532500,-81.893100,Address ready; geocode approximate,Medium,Company source verified,https://www.gefinc.com/node/133 ; https://www.gefinc.com/,Oil and gas well metering skid platform support using fiberglass flooring and structural fiberglass fabrication.,Confirmed oilfield support / fabrication,Manufacturer / fabrication,Existing V2.7 record,38.5325,-81.8931,,,Physical address / approximate geocode,38.532500|-81.893100,1,Single marker; tooltip opens on hover
